,DAY,TEAM_1,TEAM_1_XG,SCORE,TEAM_2,TEAM_2_XG
1,Tue,Juventus,2.9,3–1,PSV Eindhoven,1
1,Tue,Young Boys,0.6,0–3,Aston Villa,2
1,Tue,Sporting CP,1.6,2–0,Lille,0.4
1,Tue,Bayern Munich,5.9,9–2,Dinamo Zagreb,0.7
1,Tue,Real Madrid,2.6,3–1,Stuttgart,1.9
1,Tue,Milan,0.6,1–3,Liverpool,3.1
1,Wed,Sparta Prague,2.5,3–0,RB Salzburg,0.6
1,Wed,Bologna,1.2,0–0,Shakthar,0.9
1,Wed,Manchester City,2.3,0–0,Inter,0.7
1,Wed,Celtic,3.8,5–1,Slovan Bratislava,0.5
1,Wed,Paris S-G,2.1,1–0,Girona,0.2
1,Wed,Club Brugge,1.2,0–3,Dortmund,1.9
1,Thu,Feyenoord,0.8,0–4,Leverkusen,1.7
1,Thu,Red Star,1,1–2,Benfica,1.3
1,Thu,Monaco,1.3,2–1,Barcelona,0.4
1,Thu,Atlético Madrid,1.7,2–1,RB Leipzig,0.7
1,Thu,Brest,2.1,2–1,Sturm Graz,0.5
1,Thu,Atalanta,1.2,0–0,Arsenal,0.8
,,,,,,
2,Tue,RB Salzburg,1.6,0–4,Brest,2
2,Tue,Stuttgart,1.7,1–1,Sparta Prague,1
2,Tue,Arsenal,0.7,2–0,Paris S-G,0.4
2,Tue,Slovan Bratislava,0.1,0–4,Manchester City,3.7
2,Tue,Leverkusen,1.8,1–0,Milan,1
2,Tue,Dortmund,2.6,7–1,Celtic,2.1
2,Tue,Barcelona,3.4,5–0,Young Boys,0.8
2,Tue,Inter,2.8,4–0,Red Star,0.5
2,Tue,PSV Eindhoven,2.6,1–1,Sporting CP,1.3
2,Wed,Shakthar,0.3,0–3,Atalanta,2.6
2,Wed,Girona,2.2,2–3,Feyenoord,1.9
2,Wed,Liverpool,1.2,2–0,Bologna,0.6
2,Wed,Benfica,4.4,4–0,Atlético Madrid,0.2
2,Wed,Aston Villa,0.4,1–0,Bayern Munich,1.5
2,Wed,Dinamo Zagreb,1,2–2,Monaco,1.9
2,Wed,RB Leipzig,3.3,2–3,Juventus,1.2
2,Wed,Sturm Graz,0.4,0–1,Club Brugge,0.7
2,Wed,Lille,1.1,1–0,Real Madrid,2
,,,,,,
3,Tue,Monaco,3.3,5–1,Red Star,1
3,Tue,Milan,1.2,3–1,Club Brugge,0.6
3,Tue,Aston Villa,1.2,2–0,Bologna,0.9
3,Tue,Arsenal,1.8,1–0,Shakthar,0.7
3,Tue,Paris S-G,2.5,1–1,PSV Eindhoven,0.2
3,Tue,Girona,1.7,2–0,Slovan Bratislava,0.5
3,Tue,Real Madrid,3.5,5–2,Dortmund,1.6
3,Tue,Juventus,0.2,0–1,Stuttgart,2.5
3,Tue,Sturm Graz,0.7,0–2,Sporting CP,1.4
3,Wed,Brest,0.5,1–1,Leverkusen,1
3,Wed,Atalanta,2.4,0–0,Celtic,0.3
3,Wed,Manchester City,2.9,5–0,Sparta Prague,0.2
3,Wed,Benfica,1.7,1–3,Feyenoord,1
3,Wed,Barcelona,2.2,4–1,Bayern Munich,1
3,Wed,RB Salzburg,1.2,0–2,Dinamo Zagreb,1.6
3,Wed,RB Leipzig,0.8,0–1,Liverpool,2.3
3,Wed,Young Boys,0.8,0–1,Inter,3.3
3,Wed,Atlético Madrid,2.3,1–3,Lille,1.3
,,,,,,
4,Tue,PSV Eindhoven,2,4–0,Girona,0.8
4,Tue,Slovan Bratislava,1.7,1–4,Dinamo Zagreb,1.5
4,Tue,Sporting CP,2.9,4–1,Manchester City,2.1
4,Tue,Celtic,1.8,3–1,RB Leipzig,1.3
