Team,Massey_Rating
Bayern Munich,1.7830497941669414
Barcelona,1.5552839530456173
Atalanta,1.496253618181203
Arsenal,1.4575824595906954
Liverpool,1.4007716364472884
Paris S-G,1.377421919399439
Benfica,1.2146916130691425
Inter,0.8873368304997515
Manchester City,0.5958643551389611
Real Madrid,0.5769875113011875
Leverkusen,0.4172324687046388
Aston Villa,0.2782093328493677
Dortmund,0.27777716494993243
Monaco,0.24685446967377128
Stuttgart,0.19219122606933928
Bologna,0.038691954401105025
Atlético Madrid,-0.05152197283571513
RB Leipzig,-0.07949316494912036
PSV Eindhoven,-0.27554419344517894
Club Brugge,-0.31552494366757805
Milan,-0.32530925572522257
Girona,-0.371726921609919
Sporting CP,-0.38623317261859336
Red Star,-0.41558342132829046
Feyenoord,-0.41870798731601694
Juventus,-0.42053388525427965
Celtic,-0.5071975477623547
Shakthar,-0.5478701020628836
Lille,-0.5746653070991815
Brest,-0.640599600534224
Sparta Prague,-1.0035905090191104
Dinamo Zagreb,-1.2413769647372197
Young Boys,-1.3201720138135333
Sturm Graz,-1.3367765409184356
RB Salzburg,-1.710519391879626
Slovan Bratislava,-1.8532534109118979
