Team,Massey_Rating_XG,PF_Rating,Massey_Rating_G,Points
Liverpool,1.401,0.046,1.799,21
Paris S-G,1.377,0.036,0.454,13
Benfica,1.215,0.046,0.854,13
Inter,0.887,0.031,0.890,19
Manchester City,0.596,0.034,0.030,11
Real Madrid,0.577,0.050,1.214,15
Leverkusen,0.417,0.024,0.618,16
Aston Villa,0.278,0.025,0.668,16
Dortmund,0.278,0.040,1.268,15
Monaco,0.247,0.030,0.554,13
Stuttgart,0.192,0.029,-1.046,10
Bologna,0.039,0.022,0.153,6
Atlético Madrid,-0.052,0.021,0.348,18
RB Leipzig,-0.079,0.026,-0.478,3
PSV Eindhoven,-0.276,0.027,0.535,14
Club Brugge,-0.316,0.019,-0.311,11
Milan,-0.325,0.027,0.070,15
Girona,-0.372,0.021,-0.953,3
Sporting CP,-0.386,0.026,0.394,11
Red Star,-0.416,0.023,-0.925,6
Feyenoord,-0.419,0.025,-0.682,13
Juventus,-0.421,0.021,0.435,12
Celtic,-0.507,0.024,-0.543,12
Shakthar,-0.548,0.020,-0.545,7
Lille,-0.575,0.021,1.231,16
Brest,-0.641,0.019,-0.377,13
Sparta Prague,-1.004,0.011,-2.147,4
Dinamo Zagreb,-1.241,0.014,-1.091,11
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
